Club or Program,Purpose and Services,Tags,Website
Artificial Intelligence Club,"Our mission is to create an inclusive community for individuals at all levels of interest in AI, focusing on practical learning and skill-building. Through hands-on workshops, collaborative projects, and sessions guided by industry professionals, we delve into areas such as machine learning, deep learning, natural language processing, computer vision, and AI ethics. We aim to provide a supportive space where members can develop their expertise, engage with real world challenges, and thoughtfully consider the broader implications of AI across industries. Our goal is to prepare members to actively contribute to the future of artificial intelligence.",STEM,https://www.ivc.edu/clubs/artificial-intelligence-club
Asian American and Pacific Islander Club,"The Asian American and Pacific Islander Club shall promote public awareness of the cultures, history, and struggles of Asian American and Pacific Islanders, stimulate and develop student interest in spreading knowledge to the community of not well known parts of different cultures of both Asian and Pacific Islanders through creating events that can help support and increase the influence of Asian and Pacific Islander cultures in the community, and participate in community or volunteer work as well.",MULTICULTURAL,https://www.ivc.edu/clubs/aapi
Astronomy and Physics Club,"The Astronomy and Physics club at Irvine Valley College aims to educate students of IVC about the basics of physics and astronomy through guest speakers, field trips, and space related events. Members will attend biweekly meetings that cover current events in space and learn about discoveries through a real-time and interactive experience provided by professors on campus and guests from institutions like NASA to enhance the human understanding of what lies beyond earths atmosphere and the potential of science in the future and now.","STEM, ACADEMIC",https://www.ivc.edu/clubs/astronomy-physics
Athletic Club,"Our mission is to promote fitness among Irvine Valley College students and bring together a community of students who enjoy exercise. We aim to create a supportive and inclusive environment where students can come together to share their love for fitness and wellness. We want to provide resources and opportunities for students to engage in physical activity, whether it be through organized fitness classes, group exercise sessions, or simple encouragement to get up and move. We also want to educate students on the importance of maintaining a healthy lifestyle and the benefits it can have on overall well-being. We believe that by fostering a culture of fitness and wellness at IVC, we can empower students to make positive changes in their lives and lead healthier happier lives.","HEALTH, GENERAL",https://www.ivc.edu/clubs/athletic-club
Badminton Club,"The Irvine Valley College Badminton Club is dedicated to creating and fostering a love of badminton among all students, promoting sportsmanship, and improving the skills of badminton at IVC.Our goal is to build a supportive and inclusive community environment where students of all levels can participate in this dynamic sport, fostering camaraderie and respect. Through club activities such as training sessions, organizing tournaments and offering different prizes, as well as providing educational content on the history, rules and techniques of badminton, we believe that we can positively promote the holistic health benefits of playing badminton to the IVC community and all of us, motivate students to be physically active, make meaningful connections, and further promote the development of badminton culture.","HEALTH, GENERAL",https://www.ivc.edu/clubs/badminton
Board Game Club,"The Board Game Club shall promote public awareness of alternate forms of tabletop, party, role-playing, and digital games, and stimulate student interest in creatively collaborating and meeting new people. A successful Board Game Club should help its members build necessary improvising, collaborating, strategizing, problem solving, planning, and leadership skills. A tabletop game includes any game that is intended to be played in person on a table; this can include board, card, or world building elements. A party game is a group game that is primarily social, rather than strategy, which helps build community closeness. A role-playing game is a game where the players act and pretend to be a character within the world of the game; these games can involve a physical board and dice, but it is not a requirement for all types of role-playing games. Finally, there are digital forms of these games that are available online, which can be helpful if meeting in person is not possible for certain members. The Board Game Club intends to teach its members the different aspects of these games, as each category has multiple subcategories. Meeting in person with physical items, or digitally with the correct software and tools, will help members be the most successful in becoming proficient role-players and board gamers.",GENERAL,https://www.ivc.edu/clubs/board-game-club
Business Leaders Society (BLS),"IVC Business Leaders Society creates close ties with the business community, providing essential opportunities for members and an appreciation of the American free enterprise system. IVC Business Leaders Society allows post-secondary students to learn leadership skills related to business and participate in the highest quality events. These are the key factors to our personal career development. ","BUSINESS, ACADEMIC",https://www.ivc.edu/clubs/bls
Cardiology Club,"The goal of this club is to highlight the fascinating field of cardiology by providing an enriching environment in which aspiring medical professionals can learn more about the cardiovascular system. Students will have the opportunity to study the anatomy of the cardiovascular system via interactive workshops, listen to guest speaker cardiologists and cardiovascular surgeons and researchers, discuss cardiology-related case studies, participate in educational field trips to cardiology departments in hospitals, and participate in community outreach to raise awareness about heart health and cardiovascular diseases.","HEALTH, STEM",https://www.ivc.edu/clubs/cardiology-club
ChemUnity,"A plethora of STEM majors are required to take a chemistry class at some point in their academic career, which is why the Chemunity is there for students from all academic backgrounds that are unified by this requirement. The goal of the Chemunity is to help connect students with careers and opportunities that involve an education in chemistry. Students will better understand what options they have in the world of chemistry by going on field trips, hearing from guest speakers, participating in research, gaining hands-on laboratory skills, and being involved in a group of ambitious students with a shared interest in chemistry.","STEM, ACADEMIC",https://www.ivc.edu/clubs/chemunity
Chess Club,The mission of the chess club is to foster a community at IVC where people learn and compete in the game of Chess.,"GENERAL, ACADEMIC",https://www.ivc.edu/clubs/chess
Christian Students Club,"Irvine Christian Students has been a registered club IVC since 1989. Our goal is to enjoy Christ, to share the good news of Jesus Christ, and to spread the truth of the Bible. The Christian Students Club shall promote public awareness of the gospel, stimulate and develop student interest in the Bible, and participate in community or volunteer work as well.",RELIGIOUS,https://www.ivc.edu/clubs/christian
Circle K International (CKI),Circle K International is an international collegiate service organization formed to help the community through various service projects. It aims to build fellowship and create leaders within the membership. It also provides leadership training through professional development and conferences.,"LEADERSHIP, GENERAL",https://www.ivc.edu/clubs/cki
College Leap at IVC,"College Leap at IVC is a local chapter of a UC Berkeley-founded national nonprofit which aims to holistically support community college students on their transfer journeys. College Leap provides valuable leadership, mentorship, and internship opportunities to students through hosting panels and competitions. Since four-year universities tend to have a much stronger alumni network, internship and recruitment resources, and a variety of student competitions, our mission is to bridge that gap at IVC by supplementing the resource base that is currently available to our community college students. College Leap at IVC delivers on this mission by hosting business plan competitions to promote entrepreneurship among students of all majors, connecting them with internship opportunities at startups, and organizing alumni panels with IVC graduates to share their advice on the transfer process. By creating opportunities for students to shine academically and professionally through our events, we seek to ease the transfer process and boost students skills and achievements which they can showcase when applying to their dream schools.","LEADERSHIP, ACADEMIC",https://www.ivc.edu/clubs/leap
Computer Science Club,"Our mission at the Computer Science Club is to foster a vibrant and inclusive community of technology enthusiasts dedicated to advancing the field of computer science. We strive to create an environment where members can collaborate, innovate, and explore the limitless possibilities of computing. Through a variety of workshops, projects, and discussions, we aim to empower our members with the knowledge and skills needed to thrive in a rapidly evolving digital world. Our commitment to diversity, equity, and inclusion ensures that all voices are heard and valued, creating a dynamic space where everyone can contribute and grow. Together, we aspire to inspire and shape the future of technology, making a positive impact on our campus and beyond.","STEM, ACADEMIC",https://www.ivc.edu/clubs/compsci
Diversified Doctors,"Diversified Doctors of Irvine Valley College engages individuals to promote equitable access to medicine through outreach, research, and innovation. As future physicians and leaders in healthcare, we hold ourselves and others to a high moral code of integrity and care through outreach events, research initiatives, and healthcare innovation. Join us in shaping a brighter, more equitable future in medicine, where each individual's journey is embraced with open arms and empowered by the spirit of medicine.","HEALTH, ACADEMIC, STEM",https://www.ivc.edu/clubs/diversified-doctors
Drama Club,"Our mission is to pursue further education and success in the world of theater, theater history, and theater appreciation.",ARTS,https://www.ivc.edu/clubs/drama
Economics Club,"The Economics Club shall promote public awareness of Economics, stimulate and develop student interest in macroeconomics/microeconomics, and participate in community or volunteer work as well.?","SOCIAL SCIENCE, BUSINESS, ACADEMIC",https://www.ivc.edu/clubs/economics
Film Club,"IVCs Film Club is a new club dedicated to supporting and cultivating an interest in various aspects of cinema such as directing, screenwriting, acting, film theory, and of course film viewing! We hope to host movie watching events, educational workshops, and outreach/social events throughout the course of this year and we would love for you to join our community!","ARTS, HUMANITIES",https://www.ivc.edu/clubs/film
Financial Finesse Club,"The purpose of the Club is to inspire a finesse for investing: to create a scene that promotes financial literacy where driven students unite to explore the markets, develop strategies, and achieve goals, ultimately aligning ambition with altruism. Overall, with each meeting, this Club intends to help students become more conscious about the way the manage their finances. Some examples may include educating students about they way they invest with not just their money, but their time and energy as well. Practical applications may include discussion regarding the way people choose to finance cars, housing, and insurance. By nature, with the way meetings are run, this Club facilitates leadership development and cooperation between Officers and the Advisor.","BUSINESS, ACADEMIC",https://www.ivc.edu/clubs/financialfinesse
First Generation Student Club,The First Generation Student Clubs mission is to foster a supportive community of first generation college students. The First Generation Student Club has created a vast network of connections with faculty and pooled the necessary resources to support and guide every first generation student throughout their college journey.,GENERAL,https://www.ivc.edu/clubs/firstgen
French Club,"The IVC French Club was established in 2014. We are a group of French and Francophone culture and French language lovers. No previous knowledge of French is required. We also offer a home to IVC French speakers who want to stay in touch with other Francophones. Outside of the French language and French and Francophone culture, we take a special interest in cooking, cinema, art, games, music, sports, community building and traveling.",LANGUAGE,https://www.ivc.edu/clubs/french
Future Educators Club,"As future educators, we seek to create a network of students who will promote opportunities and careers in education and teaching, as well as participate in community service.","ACADEMIC, SOCIAL SCIENCE",https://www.ivc.edu/clubs/fec
Game Theory Club,"Our mission is to inspire Irvine Valley College students to embrace mathematical thinking through the exciting world of game theory. By analyzing and playing probability-based games like Poker, Yahtzee, and Monopoly, we aim to show that math is not just about solving equationsit's a powerful tool for understanding strategy, decision-making, and real-world dynamics. We aim to provide students with unique opportunities to test their knowledge by building computational systems, competing for awards through solving combinatorial problems, and participating in exclusive trading games used by top quantitative firms to train their interns. Join us to discover how math can unlock new perspectives and skills in a fun and collaborative environment.","STEM, ACADEMIC",https://www.ivc.edu/clubs/game-theory-club
Gender Sexuality Alliance (GSA),"The purpose should be the following: The Gender Sexuality Alliance (GSA) of IVC is a school-affiliated club made up of LGBTQIA+ students and their allies dedicated to the celebration and flourishing of queer people, identities, and culture across campus and Orange County. The GSA focuses on creating a safe space for community ties to strengthen through community bonding events, collaborative civic engagement, and celebrating LGBTQIA+ history and culture.","MULTICULTURAL, SOCIAL SCIENCE",https://www.ivc.edu/clubs/gsa
Geology Club,"The geology club looks forward to connecting students who are interested in spending time outdoors in Southern California, exploring and hiking our local trails, observing the local geology, and visiting our local museums. Our goal is to enjoy the amazing geology around us, present and past; we live in the perfect location for it! We intend to work with local non-profits to keep Orange Countys beaches and waterways clean, as well as other local non-profits.","STEM, ACADEMIC",https://www.ivc.edu/clubs/geology
Girlhood Club,"Girlhood Club is dedicated to fostering a supportive and empowering community for female students. We aim to create a safe space where women can come together to uplift and inspire one another, build lasting friendships, and explore their creativity. Through activities such as painting, jewelry making, crafting, movie nights, karaoke, and more, we celebrate the strength and uniqueness of every woman, encouraging personal growth, self-expression, and mutual empowerment. Together, we create a sisterhood that empowers each member to shine, thrive, and make meaningful connections. All students are welcome to join.","MULTICULTURAL, SOCIAL SCIENCE",https://www.ivc.edu/clubs/girlhood-club
Girls Who Code Club,"Girls Who Code is an international non-profit organization working to close the gender gap in technology, and leading the movement to inspire, educate and equip young women and non-binary people with the computing skills needed to pursue 21st-century opportunities. Since launching in the United States in 2012, Girls Who Code has reached 185,000 girls through its programs (Clubs, Campus, Summer Immersion Program, College Loops), and 100 million people through campaigns, and advocacy work. Girls Who Code College Loops are university-level networks for college-aged women and nonbinary people interested in STEM to support one another and help each other persist and succeed in the field. College Loops are about more than programming, theyre on-campus organizations offering monthly challenges like host resume building activities, interview prep, workshops, and go to conferences, and building basic computer science skills that are needed in the current world. Some examples can be learning how to use online job platforms to effectively apply for opportunities perfect for you, learning how to edit videos online to grow your online presence, and so much more!",STEM,https://www.ivc.edu/clubs/Girls-Who-Code-College-Loop
Global Perspectives Club,"The GPC club strives to explore diverse perspectives, stay unformed on global issues, and actively contribute to our community. Through insightful discussions, educational events, and service initiatives, we aim to deepen our understanding of the world to make a difference locally and globally","SOCIAL SCIENCE, MULTICULTURAL",https://www.ivc.edu/clubs/global-perspectives-club
Google Developer Student Club,GDSC is a global program by Google Developers to bridge the gap between theory and practice. Our chapter aims to create an inclusive space for all students to learn and share these valuable skills that go beyond traditional classroom education.,"STEM, ACADEMIC",https://www.ivc.edu/clubs/googledev
Green Team,"The Green Team is a collective and diverse community of students who are passionate about environmental advocacy on campus and globally. We provide students monthly opportunities to attend service events such as coastal clean ups, campus clean ups at IVC, and recycling events. One of our initiatives this semester is a recycling program which consists of working with facilities and management by collecting bottles and cans from the campus and recycling them to make money to give back to the campus and improve sustainability. We plan on involving the whole club on this project in order to develop leadership skills and engagement. Coastal/Campus Clean Ups are events for all students to get involved in a service project. It encourages social engagement with other students and has good ecological impacts. Organization of events, Logistics, Planning, and Time Management are all skills used by our officers and members. We will be working with Facilities and Management for our recycling program. The recycling program can potentially serve as an additional source of revenue for ASIVC.",GENERAL,https://www.ivc.edu/clubs/greenteam
Industrial Arts Club,"The Industrial Arts Club uses and learns about various, current manufacturing equipment, industry software, and methods to create projects. The Industrial Arts Club shall promote public awareness of the DMP department at IVC, stimulate and develop student interest in design, model making, and prototyping, and participate in community or volunteer work as well. The goal of the club is to encourage the use of the Design Model Making and Prototyping departments workspace and equipment, in addition to promoting the many learning outcomes the department aims to provide. The club also provides students with similar or overlapping interests to collaborate and connect on their hobbies, projects, and majors.","ARTS, STEM",https://www.ivc.edu/clubs/industrial-arts-club
International Student Club,"The International Students club has been founded for the purpose of: Promoting greater diversity in the IVC community; Providing International students an opportunity to unite with others who share the common experience of studying abroad in the US; Encouraging international students to engage in IVC campus activities and programs; Assisting international students in gaining a better understanding of American culture and adjusting to life in the IVC community. In general meeting, we will have fun and educational activities which is related to international. Last year, we had a lot of successful activities such as international educational week, international telephone game, and picnic event. All of our activities are very meaningful because members will be provided an opportunities to learn new cultures with their fellow members. It also helps international students to feel comfortable since here is not their familiar environment for them.",GENERAL,https://www.ivc.edu/clubs/international
IVC Amateur Radio Club,"At the IVC Amateur Radio Club, we are on a mission to foster a vibrant community of young amateur radio operators. We focus on gaining practical knowledge in electronic engineering while supporting local Community Emergency Response Teams and first responders by providing backup communication channels in case of an extreme emergency. We endeavor to make amateur radio known to the community, help individuals get their amateur radio license, and join the great community of amateur radio operators.","STEM, ACADEMIC",https://www.ivc.edu/clubs/radio-club
IVC Baja Club,"IVC Baja, for both participating members and the wider IVC community, shall promote interest in and develop expertise of automotive engineering experience through the design, fabrication, assembly and testing of a one-seater, off-road, gas-powered Baja vehicle for participation in the 2025 Baja SAE intercollegiate design competition, hosted by the Society of Automotive Engineers.","STEM, ACADEMIC",https://www.ivc.edu/clubs/ivc-baja-club
IVC Cybersecurity Club,"The Cybersecurity Club shall develop a community of students passionate about cybersecurity and its growing importance in society. Through rigorous competitions such as Capture the Flags and technical training of tools and advanced concepts, members are engaged with practices of industry standards and networks of skilled mentors. To promote awareness of possible vulnerabilities and their detriment, the club will host outreach events in collaboration with diverse community groups and junior teams.","STEM, ACADEMIC",https://www.ivc.edu/clubs/cybersecurity
IVC Red Cross Club,Our mission is to alleviate human suffering while protecting life and health.,HEALTH,https://www.ivc.edu/clubs/ivc-red-cross-club
Latinx Student Association,"Uniting and Empowering Latinx students through intercultural awareness, and celebration.","MULTICULTURAL, LANGUAGE",https://www.ivc.edu/clubs/latinx
Mathematics Club,"The mission of this club is to teach, hone, and inspire Mathematics students to pursue math and find research opportunities for them to develop their mathematical understanding.","STEM, ACADEMIC",https://www.ivc.edu/clubs/math
MedAI,"Our vision is to explore the integration of artificial intelligence in the medical field, with a focus on the transformative impact AI has on medical practices such as drug development, diagnosis, and patient care. As AI continues to develop and become ubiquitous in all aspects of society, Med AI aims to foster a collaborative environment and equip members with the expertise and experiences necessary to contribute to advancements in healthcare through AI technologies. Our mission is to create a platform for students to learn, innovate, and apply AI solutions to real-world medical challenges, ultimately preparing them to be leaders in this emerging field.","HEALTH, STEM, ACADEMIC",https://www.ivc.edu/clubs/medai
Mental Wellness Club,"The Mental Wellness Club shall promote public awareness of Mental Health and wellness, stimulate and develop student interest in Mental Health and wellness, and participate in community or volunteer work as well.","HEALTH, GENERAL",https://www.ivc.edu/clubs/mwc
Mock Trial,"The purpose of this student organization is to provide an environment for students to exercise critical thinking, acting, public speaking, and advocacy, while becoming familiarized with courtroom procedures through the activity of Mock Trial. This club provides students with the opportunity to participate in simulated criminal and civil trials in the procedure of lower-court trials by performing the roles of attorneys, key witnesses, clerks, timekeepers, and bailiffs.","SOCIAL SCIENCE, ACADEMIC",https://www.ivc.edu/clubs/mock-trial
Multi-Dance Culture Club,"Our mission at our dance club is to create a vibrant and inclusive community where individuals of all skill levels can explore, express, and enhance their passion for dance. We aim to provide a supportive environment that fosters creativity, collaboration, and personal growth through diverse dance styles and performances. By promoting cultural appreciation, physical fitness, and artistic expression, we strive to inspire our members and audiences alike, making dance an integral part of our lives and the broader community.","ARTS, MULTICULTURAL",https://www.ivc.edu/clubs/multi-dance-culture-club
Muslim Student Association (MSA),"Muslim Student Association, is a student-led group in schools and universities that warmly welcomes both Muslim and non-Muslim students. Its purpose is to create an inclusive space where students can connect, share their cultures and beliefs, and engage in activities such as education, community service, and interfaith dialogue. MSAs foster understanding, diversity, and friendship on campus.","RELIGIOUS, MULTICULTURAL",https://www.ivc.edu/clubs/msa
Neuro Club,"We are a student-led academic organization that gives students the opportunity to explore the interdisciplinary field of neuroscience while developing a collaborative community with shared interests. Whether you plan to pursue a career in this field or are simply curious about the brain, our club is open to anyone who is interested. We offer mentorship and collaboration on research projects, create volunteering opportunities, and hold events that foster the wider communitys interest in neuroscience.","STEM, HEALTH, ACADEMIC",https://www.ivc.edu/clubs/neuro-club
Pre-Law Society,"The Pre-Law Society shall promote public awareness of the legal profession and pre-law students, stimulate and develop student interest in legal issues and pursuing a legal education, and participate in community or volunteer work as well.","SOCIAL SCIENCE, ACADEMIC",https://www.ivc.edu/clubs/prelaw
Pre-Nursing Students Club,"The Pre-Nursing Students Club shall promote public awareness of the nursing occupation, stimulate and develop student interest in nursing, and participate in community or volunteer work as well.","HEALTH, ACADEMIC",https://www.ivc.edu/clubs/prenurse
Public Health Research Association,"The IVC Public Health Research Association (PHRA) strives to foster connections and knowledge exchange between students and distinguished public health researchers, empowering students to pursue their passions and strengthen the public health system. PHRA is dedicated to enabling students to engage with leading public health experts, cultivating essential skills and networks that will shape their journey towards a brighter and more impactful future in the field.","HEALTH, ACADEMIC, SOCIAL SCIENCE",https://www.ivc.edu/clubs/publichealth
Real Estate Club,"The Real Estate Club's mission is to open doors for IVC students to learn about the Real Estate industry and possible career opportunities within it. While we plan to hold educational meetings and career talks, our main objective stands to help advise students on the process of obtaining a CA Real Estate Salesperson License. As our advisor is Prof. Rick Boone of the Real Estate Department, we plan to give a very detailed route of the exact courses and electives to take to meet the licensing requirements. In terms of connecting with other schools, we hope to possibly partner with local high schools as well as CSUF. As the club continues to expand, we hope that we can be a leading pre-professional organization in helping students enter careers they hadn't originally considered.","BUSINESS, ACADEMIC",https://www.ivc.edu/clubs/realestate
She�s the First,"She's the First Club aims to raise awareness about girls' rights, promote the importance of having access to education for girls, and volunteer to take action in our community. Shes the First is a nonprofit organization that partners with organizations to support girl-centered programs and ensures girls are educated, respected, and heard.",LEADERSHIP,https://www.ivc.edu/clubs/shesthefirst
South Asian Student Association (SASA),"The South Asian Student Association (SASA) is dedicated to fostering a supportive community and promoting cultural awareness, education, and interaction among students of South Asian descent and the wider IVC community. We believe in embracing cultural diversity and equity and strive to create a welcoming environment for all members , regardless of race. SASA aims to provide opportunities for students to learn about, experience, and appreciate the rich cultural heritage of South Asia through engaging in cultural festivals and traditions. Our events are designed to be both educational and enjoyable, allowing students to connect socially and professionally with others who share similar interests. SASA shall maximize the potential of the organization through its vast membership and increase awareness and collaboration with other organizations on campus and in the community.",GENERAL,https://www.ivc.edu/clubs/sasa
"STEM (Science, Technology, Engineering, Math) Club",For students interested in STEM to hear practical experiences from experts in STEM. Club members will hear a short speech from a STEM expert and will be able to ask their own questions. In this way students will be more aware of life inside their own dream careers and give them confidence moving forward.,"STEM, ACADEMIC",https://www.ivc.edu/clubs/stem
Student United Way,"United Way brings together people and organizations around the world to improve education, financial stability and health--the building blocks for a good quality life, a stronger community and more opportunity for all.","LEADERSHIP, GENERAL",https://www.ivc.edu/clubs/suw
Student Veterans of America,"Empower the military-connected population with guidance and tools to advance their success. Emulate what other military students can achieve and bridge misconceptions of our shared community. Cultivate academic success by implementing leadership qualities and team collaboration. Foster a sense of community with belonging, camaraderie, and veteran-focused workshops. Create outreach and networking opportunities with community partners and nonprofits to ensure military-connected students have resources for their success.",GENERAL,https://www.ivc.edu/clubs/veterans
The National Society of Leadership and Success,"For the purpose of assisting college students in creating the lives they desire, by helping students discover their passion and purpose through giving them the support and tools to achieve their goals, in order to build leaders who make a better world  The National Society of Leadership and Success, Sigma Alpha Pi has been founded.","LEADERSHIP, ACADEMIC",https://www.ivc.edu/clubs/nsls
UNICEF,"To fundraise for UNICEF, promote advocacy on different issues, community building, and raising awareness",LEADERSHIP,https://www.ivc.edu/clubs/unicef
Vietnamese Student Association,"The Vietnamese club is an organization that provides a safe and engaging environment for all members to share the experience of learning more about the Vietnamese culture. Food, tradition, and the history of Vietnam will be celebrated and taught through a series of meetings and events throughout the year.",LANGUAGE,https://www.ivc.edu/clubs/vietnamese-club
Women in Business,"Women In Business strives to bring all women and future female leaders that aspire to be part of the business world together with social, networking, and recreational events. Our mission at Irvine Valley College is to foster a positive and inclusive environment for women pursuing a career in business and provide opportunities for members to develop leadership skills. We strive for gender equity and intersectionality whilst empowering women to further their professional development in the business field.",BUSINESS,https://www.ivc.edu/clubs/women-in-business
Women in Cybersecurity,"Our IVC Student Chapter of Women in CyberSecurity (WiCyS) - a national organization that aims to bring gender diversity to Cybersecurity, is fully committed to working towards our shared goals of reducing the gender gap in cybersecurity, providing top-notch education, mentorship, and networking opportunities to students, and promoting women's participation in the cybersecurity workforce. The WiCyS community brings together women, allies, and advocates who can empower each other, and collectively help in the recruitment, retention, and advancement of women in the cybersecurity workforce. We believe that by joining WiCyS, we can inspire and encourage more women to pursue careers in this exciting and rapidly evolving field.",STEM,https://www.ivc.edu/clubs/women-in-cybersecurity
